3,0,0,0,1,1,1,1,1,0,0,0,0
10,0,0,1,1,1,1,1,1,1,0,0,0
19,0,0,0,1,1,0,1,1,0,0,0,0
12,0,0,1,1,1,0,0,0,0,0,0,0
13,0,0,1,1,1,1,0,0,0,0,0,0
101,0,0,0,1,1,1,0,1,1,0,0,0
103,0,0,0,1,1,1,1,0,0,0,0,0
106,0,0,1,1,1,1,1,0,0,0,0,0
52,0,0,1,1,1,1,1,0,0,0,0,0
53,0,0,0,1,1,1,1,1,1,0,0,0
232,0,0,1,1,1,0,0,0,0,0,0,0
240,0,0,0,1,1,0,1,1,1,0,0,0
233,0,0,1,1,1,1,0,0,0,0,0,0
365,0,0,1,1,1,1,1,1,1,0,0,0
366,0,0,1,1,1,1,0,0,0,0,0,0
473,0,0,1,1,1,1,1,1,1,0,0,0
472,0,0,1,1,1,1,0,0,0,0,0,0
524,0,0,0,1,1,1,1,1,1,0,0,0
643,0,0,1,1,1,1,0,0,0,0,0,0
644,0,0,0,1,1,1,1,1,1,0,0,0
